code,name,validFrom,validTo,isValid,1919.newCode,1919.newName,1936.newCode,1936.newName,1972.newCode,1972.newName,2018.newCode,2018.newName,2020.newCode,2020.newName,2024.newCode,2024.newName
01,Østfold,1919-01-01,2020-01-01,invalid,01,Østfold,01,Østfold,01,Østfold,01,Østfold,30,Viken,31,Østfold
01,Smaalenenes amt,1842-01-01,1919-01-01,invalid,01,Østfold,01,Østfold,01,Østfold,01,Østfold,30,Viken,31,Østfold
02,Akershus amt,1842-01-01,1919-01-01,invalid,02,Akershus,02,Akershus,02,Akershus,02,Akershus,30,Viken,32,Akershus
02,Akershus,1919-01-01,2020-01-01,invalid,02,Akershus,02,Akershus,02,Akershus,02,Akershus,30,Viken,32,Akershus
04,Hedemarkens amt,1842-01-01,1919-01-01,invalid,04,Hedmark,04,Hedmark,04,Hedmark,04,Hedmark,34,Innlandet,34,Innlandet
04,Hedmark,1919-01-01,2020-01-01,invalid,04,Hedmark,04,Hedmark,04,Hedmark,04,Hedmark,34,Innlandet,34,Innlandet
03,Oslo,1919-01-01,,valid,03,Oslo,03,Oslo,03,Oslo,03,Oslo,03,Oslo,03,Oslo
03,Christiania amt,1842-01-01,1919-01-01,invalid,03,Oslo,03,Oslo,03,Oslo,03,Oslo,03,Oslo,03,Oslo
05,Oppland,1919-01-01,2020-01-01,invalid,05,Oppland,05,Oppland,05,Oppland,05,Oppland,34,Innlandet,34,Innlandet
05,Kristians amt,1842-01-01,1919-01-01,invalid,05,Oppland,05,Oppland,05,Oppland,05,Oppland,34,Innlandet,34,Innlandet
06,Buskerud,1919-01-01,2020-01-01,invalid,06,Buskerud,06,Buskerud,06,Buskerud,06,Buskerud,30,Viken,33,Buskerud
06,Buskerud amt,1842-01-01,1919-01-01,invalid,06,Buskerud,06,Buskerud,06,Buskerud,06,Buskerud,30,Viken,33,Buskerud
07,Vestfold,1919-01-01,2020-01-01,invalid,07,Vestfold,07,Vestfold,07,Vestfold,07,Vestfold,38,Vestfold og Telemark,39,Vestfold
07,Jarlsberg og Larviks amt,1842-01-01,1919-01-01,invalid,07,Vestfold,07,Vestfold,07,Vestfold,07,Vestfold,38,Vestfold og Telemark,39,Vestfold
08,Bratsbergs amt,1842-01-01,1919-01-01,invalid,08,Telemark,08,Telemark,08,Telemark,08,Telemark,38,Vestfold og Telemark,40,Telemark
08,Telemark,1919-01-01,2020-01-01,invalid,08,Telemark,08,Telemark,08,Telemark,08,Telemark,38,Vestfold og Telemark,40,Telemark
09,Nedenes amt,1842-01-01,1919-01-01,invalid,09,Aust-Agder,09,Aust-Agder,09,Aust-Agder,09,Aust-Agder,42,Agder,42,Agder
09,Aust-Agder,1919-01-01,2020-01-01,invalid,09,Aust-Agder,09,Aust-Agder,09,Aust-Agder,09,Aust-Agder,42,Agder,42,Agder
10,Lister og Mandals amt,1842-01-01,1919-01-01,invalid,10,Vest-Agder,10,Vest-Agder,10,Vest-Agder,10,Vest-Agder,42,Agder,42,Agder
10,Vest-Agder,1919-01-01,2020-01-01,invalid,10,Vest-Agder,10,Vest-Agder,10,Vest-Agder,10,Vest-Agder,42,Agder,42,Agder
11,Rogaland,1919-01-01,,valid,11,Rogaland,11,Rogaland,11,Rogaland,11,Rogaland,11,Rogaland,11,Rogaland
11,Stavanger amt,1842-01-01,1919-01-01,invalid,11,Rogaland,11,Rogaland,11,Rogaland,11,Rogaland,11,Rogaland,11,Rogaland
12,Hordaland,1919-01-01,2020-01-01,invalid,12,Hordaland,12,Hordaland,12,Hordaland,12,Hordaland,46,Vestland,46,Vestland
12,Søndre Bergenhus amt,1842-01-01,1919-01-01,invalid,12,Hordaland,12,Hordaland,12,Hordaland,12,Hordaland,46,Vestland,46,Vestland
13,Bergen,1919-01-01,1972-01-01,invalid,13,Bergen,13,Bergen,12,Hordaland,12,Hordaland,46,Vestland,46,Vestland
13,Bergen amt,1842-01-01,1919-01-01,invalid,13,Bergen,13,Bergen,12,Hordaland,12,Hordaland,46,Vestland,46,Vestland
14,Nordre Bergenhus amt,1842-01-01,1919-01-01,invalid,14,Sogn og Fjordane,14,Sogn og Fjordane,14,Sogn og Fjordane,14,Sogn og Fjordane,46,Vestland,46,Vestland
14,Sogn og Fjordane,1919-01-01,2020-01-01,invalid,14,Sogn og Fjordane,14,Sogn og Fjordane,14,Sogn og Fjordane,14,Sogn og Fjordane,46,Vestland,46,Vestland
15,Romsdals amt,1842-01-01,1919-01-01,invalid,15,Møre,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal
15,Møre og Romsdal,1936-01-01,,valid,15,Møre,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal
15,Møre,1919-01-01,1936-01-01,invalid,15,Møre,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal,15,Møre og Romsdal
16,Søndre Trondhjems amt,1842-01-01,1919-01-01,invalid,16,Sør-Trøndelag,16,Sør-Trøndelag,16,Sør-Trøndelag,50,Trøndelag,50,Trøndelag - Trööndelage,50,Trøndelag - Trööndelage
16,Sør-Trøndelag,1919-01-01,2018-01-01,invalid,16,Sør-Trøndelag,16,Sør-Trøndelag,16,Sør-Trøndelag,50,Trøndelag,50,Trøndelag - Trööndelage,50,Trøndelag - Trööndelage
17,Nord-Trøndelag,1919-01-01,2018-01-01,invalid,17,Nord-Trøndelag,17,Nord-Trøndelag,17,Nord-Trøndelag,50,Trøndelag,50,Trøndelag - Trööndelage,50,Trøndelag - Trööndelage
17,Nordre Trondhjems amt,1842-01-01,1919-01-01,invalid,17,Nord-Trøndelag,17,Nord-Trøndelag,17,Nord-Trøndelag,50,Trøndelag,50,Trøndelag - Trööndelage,50,Trøndelag - Trööndelage
18,Nordland,1919-01-01,2020-01-01,invalid,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland
18,Nordland - Nordlánnda,2022-01-01,,valid,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland
18,Nordland ,2020-01-01,2022-01-01,invalid,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland
18,Nordlands amt,1842-01-01,1919-01-01,invalid,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland,18,Nordland
19,Troms - Romsa,2007-01-01,2020-01-01,invalid,19,Troms,19,Troms,19,Troms,19,Troms,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,55,Troms - Romsa - Tromssa
19,Tromsø amt,1867-01-01,1919-01-01,invalid,19,Troms,19,Troms,19,Troms,19,Troms,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,55,Troms - Romsa - Tromssa
19,Troms,1919-01-01,2007-01-01,invalid,19,Troms,19,Troms,19,Troms,19,Troms,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,55,Troms - Romsa - Tromssa
20,Finnmarkens amt,1842-01-01,1919-01-01,invalid,20,Finnmark,20,Finnmark,20,Finnmark,20,Finnmark,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,56,Finnmark - Finnmárku - Finmarkku
20,Finnmark - Finnmárku,2003-01-01,2020-01-01,invalid,20,Finnmark,20,Finnmark,20,Finnmark,20,Finnmark,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,56,Finnmark - Finnmárku - Finmarkku
20,Finnmark,1919-01-01,2003-01-01,invalid,20,Finnmark,20,Finnmark,20,Finnmark,20,Finnmark,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,56,Finnmark - Finnmárku - Finmarkku
30,Viken,2020-01-01,2024-01-01,invalid,,,,,,,,,,,,
31,Østfold,2024-01-01,,valid,,,,,,,,,,,31,Østfold
32,Akershus,2024-01-01,,valid,,,,,,,,,,,32,Akershus
33,Buskerud,2024-01-01,,valid,,,,,,,,,,,33,Buskerud
34,Innlandet,2020-01-01,,valid,,,,,,,,,,,34,Innlandet
38,Vestfold og Telemark,2020-01-01,2024-01-01,invalid,,,,,,,,,,,,
39,Vestfold,2024-01-01,,valid,,,,,,,,,,,39,Vestfold
40,Telemark,2024-01-01,,valid,,,,,,,,,,,40,Telemark
42,Agder,2020-01-01,,valid,,,,,,,,,,,42,Agder
46,Vestland,2020-01-01,,valid,,,,,,,,,,,46,Vestland
50,Trøndelag,2018-01-01,2020-01-01,invalid,,,,,,,,,,,,
50,Trøndelag - Trööndelage,2020-01-01,,valid,,,,,,,,,,,50,Trøndelag - Trööndelage
54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,2020-01-01,2024-01-01,invalid,,,,,,,,,,,,
55,Troms - Romsa - Tromssa,2024-01-01,,valid,,,,,,,,,,,55,Troms - Romsa - Tromssa
56,Finnmark - Finnmárku - Finmarkku,2024-01-01,,valid,,,,,,,,,,,56,Finnmark - Finnmárku - Finmarkku
99,Uoppgitt,1842-01-01,,valid,,,,,,,,,,,99,Uoppgitt
