kommunenr_2024,kommunenavn_2024,Kilde,kommunenr_historiske,kommuner_alle.name
4022,Seljord,kommunenr_2024,4022,Seljord
4022,Seljord,kommunenr_1977,0828,Seljord
4024,Hjartdal,kommunenr_2020,3819,Hjartdal
4024,Hjartdal,kommunenr_1977,0827,Hjartdal
4024,Hjartdal,kommunenr_2024,4024,Hjartdal
4026,Tinn,kommunenr_1977,0826,Tinn
4026,Tinn,kommunenr_2020,3818,Tinn
4026,Tinn,kommunenr_2024,4026,Tinn
4028,Kviteseid,kommunenr_2024,4028,Kviteseid
4028,Kviteseid,kommunenr_2020,3821,Kviteseid
4028,Kviteseid,kommunenr_1977,0829,Kviteseid
4030,Nissedal,kommunenr_1977,0830,Nissedal
4030,Nissedal,kommunenr_2020,3822,Nissedal
4030,Nissedal,kommunenr_2024,4030,Nissedal
4032,Fyresdal,kommunenr_2020,3823,Fyresdal
4032,Fyresdal,kommunenr_1977,0831,Fyresdal
4032,Fyresdal,kommunenr_2024,4032,Fyresdal
4034,Tokke,kommunenr_1977,0833,Tokke
4034,Tokke,kommunenr_2020,3824,Tokke
4034,Tokke,kommunenr_2024,4034,Tokke
4036,Vinje,kommunenr_2020,3825,Vinje
4036,Vinje,kommunenr_2024,4036,Vinje
4036,Vinje,kommunenr_1977,0834,Vinje
4201,Risõr,kommunenr_1977,0901,Risõr
4201,Risõr,kommunenr_2020,4201,Risõr
4202,Grimstad,kommunenr_1977,0904,Grimstad
4202,Grimstad,kommunenr_2020,4202,Grimstad
4203,Arendal,kommunenr_2020,4203,Arendal
4203,Arendal,kommunenr_1977,0920,ùyestad
4203,Arendal,kommunenr_1977,0922,Hisõy
4203,Arendal,kommunenr_1992,0906,Arendal
4203,Arendal,kommunenr_1977,0918,Moland
4203,Arendal,kommunenr_1977,0903,Arendal
4203,Arendal,kommunenr_1977,0921,Tromõy
4204,Kristiansand,kommunenr_1977,1018,Sõgne
4204,Kristiansand,kommunenr_2020,4204,Kristiansand
4204,Kristiansand,kommunenr_1977,1001,Kristiansand
4204,Kristiansand,kommunenr_1977,1017,Songdalen
4205,Lindesnes,kommunenr_1977,1002,Mandal
4205,Lindesnes,kommunenr_1977,1021,Marnardal
4205,Lindesnes,kommunenr_1977,1029,Lindesnes
4205,Lindesnes,kommunenr_2020,4205,Lindesnes
4206,Farsund,kommunenr_1977,1003,Farsund
4206,Farsund,kommunenr_2020,4206,Farsund
4207,Flekkefjord,kommunenr_1977,1004,Flekkefjord
4207,Flekkefjord,kommunenr_2020,4207,Flekkefjord
4211,Gjerstad,kommunenr_1977,0911,Gjerstad
4211,Gjerstad,kommunenr_2020,4211,Gjerstad
4212,VegÜrshei,kommunenr_2020,4212,VegÜrshei
4212,VegÜrshei,kommunenr_1977,0912,VegÜrshei
4213,Tvedestrand,kommunenr_1977,0914,Tvedestrand
4213,Tvedestrand,kommunenr_2020,4213,Tvedestrand
4214,Froland,kommunenr_2020,4214,Froland
4214,Froland,kommunenr_1977,0919,Froland
4215,Lillesand,kommunenr_1977,0926,Lillesand
4215,Lillesand,kommunenr_2020,4215,Lillesand
4216,Birkenes,kommunenr_1977,0928,Birkenes
4216,Birkenes,kommunenr_2020,4216,Birkenes
4217,èmli,kommunenr_2020,4217,èmli
4217,èmli,kommunenr_1977,0929,èmli
4218,Iveland,kommunenr_2020,4218,Iveland
4218,Iveland,kommunenr_1977,0935,Iveland
4219,Evje og Hornnes,kommunenr_2020,4219,Evje og Hornnes
4219,Evje og Hornnes,kommunenr_1977,0937,Evje og Hornnes
4220,Bygland,kommunenr_1977,0938,Bygland
4220,Bygland,kommunenr_2020,4220,Bygland
4221,Valle,kommunenr_2020,4221,Valle
4221,Valle,kommunenr_1977,0940,Valle
4222,Bykle,kommunenr_2020,4222,Bykle
4222,Bykle,kommunenr_1977,0941,Bykle
4223,Vennesla,kommunenr_1977,1014,Vennesla
4223,Vennesla,kommunenr_2020,4223,Vennesla
4224,èseral,kommunenr_2020,4224,èseral
4224,èseral,kommunenr_1977,1026,èseral
4225,Lyngdal,kommunenr_2020,4225,Lyngdal
4225,Lyngdal,kommunenr_1977,1032,Lyngdal
4225,Lyngdal,kommunenr_1977,1027,Audnedal
4226,Hëgebostad,kommunenr_2020,4226,Hëgebostad
4226,Hëgebostad,kommunenr_1977,1034,Hëgebostad
4227,Kvinesdal,kommunenr_2020,4227,Kvinesdal
4227,Kvinesdal,kommunenr_1977,1037,Kvinesdal
4228,Sirdal,kommunenr_2020,4228,Sirdal
4228,Sirdal,kommunenr_1977,1046,Sirdal
4601,Bergen,kommunenr_2020,4601,Bergen
4601,Bergen,kommunenr_1977,1201,Bergen
4602,Kinn,kommunenr_2020,4602,Kinn
4602,Kinn,kommunenr_1977,1439,VÜgsõy
4602,Kinn,kommunenr_1977,1401,Flora
4611,Etne,kommunenr_2020,4611,Etne
4611,Etne,kommunenr_1977,1211,Etne
4612,Sveio,kommunenr_1977,1216,Sveio
4612,Sveio,kommunenr_2020,4612,Sveio
4613,Bõmlo,kommunenr_2020,4613,Bõmlo
4613,Bõmlo,kommunenr_1977,1219,Bõmlo
4614,Stord,kommunenr_2020,4614,Stord
4614,Stord,kommunenr_1977,1221,Stord
4615,Fitjar,kommunenr_1977,1222,Fitjar
4615,Fitjar,kommunenr_2020,4615,Fitjar
4616,Tysnes,kommunenr_2020,4616,Tysnes
4616,Tysnes,kommunenr_1977,1223,Tysnes
4617,Kvinnherad,kommunenr_2020,4617,Kvinnherad
4617,Kvinnherad,kommunenr_1977,1224,Kvinnherad
4618,Ullensvang,kommunenr_2020,4618,Ullensvang
4618,Ullensvang,kommunenr_1977,1231,Ullensvang
4618,Ullensvang,kommunenr_1977,1227,Jondal
4618,Ullensvang,kommunenr_1977,1228,Odda
4619,Eidfjord,kommunenr_2020,4619,Eidfjord
4619,Eidfjord,kommunenr_1977,1232,Eidfjord
4620,Ulvik,kommunenr_2020,4620,Ulvik
4620,Ulvik,kommunenr_1977,1233,Ulvik
4621,Voss,kommunenr_2020,4621,Voss
4621,Voss,kommunenr_1977,1234,Granvin
4621,Voss,kommunenr_1977,1235,Voss
4622,Kvam,kommunenr_2020,4622,Kvam
4622,Kvam,kommunenr_1977,1238,Kvam
4623,Samnanger,kommunenr_1977,1242,Samnanger
4623,Samnanger,kommunenr_2020,4623,Samnanger
4624,Bjõrnafjorden,kommunenr_1977,1243,Os (Hordaland)
4624,Bjõrnafjorden,kommunenr_1977,1241,Fusa
4624,Bjõrnafjorden,kommunenr_2020,4624,Bjõrnafjorden
4625,Austevoll,kommunenr_2020,4625,Austevoll
4625,Austevoll,kommunenr_1977,1244,Austevoll
4626,ùygarden,kommunenr_2020,4626,ùygarden
4626,ùygarden,kommunenr_1977,1246,Fjell
4626,ùygarden,kommunenr_1977,1245,Sund
4626,ùygarden,kommunenr_1977,1259,ùygarden
4627,Askõy,kommunenr_1977,1247,Askõy
4627,Askõy,kommunenr_2020,4627,Askõy
4628,Vaksdal,kommunenr_1977,1251,Vaksdal
4628,Vaksdal,kommunenr_2020,4628,Vaksdal
4629,Modalen,kommunenr_1977,1252,Modalen
4629,Modalen,kommunenr_2020,4629,Modalen
4630,Osterõy,kommunenr_2020,4630,Osterõy
4630,Osterõy,kommunenr_1977,1253,Osterõy
4631,Alver,kommunenr_2020,4631,Alver
4631,Alver,kommunenr_1977,1256,Meland
4631,Alver,kommunenr_1977,1260,Radõy
4631,Alver,kommunenr_1977,1263,LindÜs
4632,Austrheim,kommunenr_1977,1264,Austrheim
4632,Austrheim,kommunenr_2020,4632,Austrheim
4633,Fedje,kommunenr_1977,1265,Fedje
4633,Fedje,kommunenr_2020,4633,Fedje
4634,Masfjorden,kommunenr_2020,4634,Masfjorden
4634,Masfjorden,kommunenr_1977,1266,Masfjorden
4635,Gulen,kommunenr_1977,1411,Gulen
4635,Gulen,kommunenr_2020,4635,Gulen
4636,Solund,kommunenr_2020,4636,Solund
4636,Solund,kommunenr_1977,1412,Solund
4637,Hyllestad,kommunenr_2020,4637,Hyllestad
4637,Hyllestad,kommunenr_1977,1413,Hyllestad
4638,Hõyanger,kommunenr_2020,4638,Hõyanger
4638,Hõyanger,kommunenr_1977,1416,Hõyanger
4639,Vik,kommunenr_1977,1417,Vik
4639,Vik,kommunenr_2020,4639,Vik
4640,Sogndal,kommunenr_1977,1418,Balestrand
4640,Sogndal,kommunenr_2020,4640,Sogndal
4640,Sogndal,kommunenr_1977,1419,Leikanger
4640,Sogndal,kommunenr_1977,1420,Sogndal
4641,Aurland,kommunenr_2020,4641,Aurland
4641,Aurland,kommunenr_1977,1421,Aurland
4642,Lërdal,kommunenr_1977,1422,Lërdal
4642,Lërdal,kommunenr_2020,4642,Lërdal
4643,èrdal,kommunenr_2020,4643,èrdal
4643,èrdal,kommunenr_1977,1424,èrdal
4644,Luster,kommunenr_1977,1426,Luster
4644,Luster,kommunenr_2020,4644,Luster
4645,Askvoll,kommunenr_1977,1428,Askvoll
4645,Askvoll,kommunenr_2020,4645,Askvoll
4646,Fjaler,kommunenr_2020,4646,Fjaler
4646,Fjaler,kommunenr_1977,1429,Fjaler
4647,Sunnfjord,kommunenr_2020,4647,Sunnfjord
4647,Sunnfjord,kommunenr_1977,1433,Naustdal
4647,Sunnfjord,kommunenr_1977,1432,Fõrde
4647,Sunnfjord,kommunenr_1977,1431,Jõlster
4647,Sunnfjord,kommunenr_1977,1430,Gaular
4648,Bremanger,kommunenr_1977,1438,Bremanger
4648,Bremanger,kommunenr_2020,4648,Bremanger
4649,Stad,kommunenr_1977,1443,Eid
4649,Stad,kommunenr_2020,4649,Stad
4649,Stad,kommunenr_1977,1441,Selje
4650,Gloppen,kommunenr_2020,4650,Gloppen
4650,Gloppen,kommunenr_1977,1445,Gloppen
4651,Stryn,kommunenr_2020,4651,Stryn
4651,Stryn,kommunenr_1977,1449,Stryn
5001,Trondheim,kommunenr_2018,5001,Trondheim
5001,Trondheim,kommunenr_2018,5001,Trondheim - TrÜante
5001,Trondheim,kommunenr_1977,1662,Klëbu
5001,Trondheim,kommunenr_1977,1601,Trondheim
5001,Trondheim,kommunenr_2018,5030,Klëbu
5006,Steinkjer,kommunenr_2018,5039,Verran
5006,Steinkjer,kommunenr_2018,5004,Steinkjer
5006,Steinkjer,kommunenr_1977,1702,Steinkjer
5006,Steinkjer,kommunenr_1977,1724,Verran
5006,Steinkjer,kommunenr_2020,5006,Steinkjer
5007,Namsos - NÜavmesjenjaelmie,kommunenr_2018,5048,Fosnes
5007,Namsos - NÜavmesjenjaelmie,kommunenr_2018,5040,Namdalseid
5007,Namsos - NÜavmesjenjaelmie,kommunenr_1977,1748,Fosnes
5007,Namsos - NÜavmesjenjaelmie,kommunenr_1977,1703,Namsos
5007,Namsos - NÜavmesjenjaelmie,kommunenr_2018,5005,Namsos - NÜavmesjenjaelmie
5007,Namsos - NÜavmesjenjaelmie,kommunenr_2020,5007,Namsos - NÜavmesjenjaelmie
5007,Namsos - NÜavmesjenjaelmie,kommunenr_1977,1725,Namdalseid
5007,Namsos - NÜavmesjenjaelmie,kommunenr_2018,5005,Namsos
5014,Frõya,kommunenr_2018,5014,Frõya
5014,Frõya,kommunenr_1977,1620,Frõya
5020,Osen,kommunenr_1977,1633,Osen
5020,Osen,kommunenr_2018,5020,Osen
5021,Oppdal,kommunenr_2018,5021,Oppdal
5021,Oppdal,kommunenr_1977,1634,Oppdal
5022,Rennebu,kommunenr_2018,5022,Rennebu
5022,Rennebu,kommunenr_1977,1635,Rennebu
5025,Rõros,kommunenr_2018,5025,Rõros - Rosse
5025,Rõros,kommunenr_2018,5025,Rõros
5025,Rõros,kommunenr_1977,1640,Rõros
5025,Rõros,kommunenr_2018,5025,Rõros - Rossen
5026,HoltÜlen,kommunenr_2018,5026,HoltÜlen
5026,HoltÜlen,kommunenr_1977,1644,HoltÜlen
5027,Midtre Gauldal,kommunenr_1977,1648,Midtre Gauldal
5027,Midtre Gauldal,kommunenr_2018,5027,Midtre Gauldal
5028,Melhus,kommunenr_1977,1653,Melhus
5028,Melhus,kommunenr_2018,5028,Melhus
5029,Skaun,kommunenr_2018,5029,Skaun
5029,Skaun,kommunenr_1977,1657,Skaun
5031,Malvik,kommunenr_2018,5031,Malvik
5031,Malvik,kommunenr_1977,1663,Malvik
5032,Selbu,kommunenr_1977,1664,Selbu
5032,Selbu,kommunenr_2018,5032,Selbu
5033,Tydal,kommunenr_1977,1665,Tydal
5033,Tydal,kommunenr_2018,5033,Tydal
5034,MerÜker,kommunenr_1977,1711,MerÜker
5034,MerÜker,kommunenr_2018,5034,MerÜker
5035,Stjõrdal,kommunenr_1977,1714,Stjõrdal
5035,Stjõrdal,kommunenr_2018,5035,Stjõrdal
5036,Frosta,kommunenr_1977,1717,Frosta
5036,Frosta,kommunenr_2018,5036,Frosta
5037,Levanger,kommunenr_2018,5037,Levanger
5037,Levanger,kommunenr_1977,1719,Levanger
5038,Verdal,kommunenr_1977,1721,Verdal
5038,Verdal,kommunenr_2018,5038,Verdal
5041,SnÜase - SnÜsa,kommunenr_1977,1736,SnÜsa
5041,SnÜase - SnÜsa,kommunenr_2018,5041,SnÜase - SnÜsa
5041,SnÜase - SnÜsa,kommunenr_1977,1736,SnÜase - SnÜsa
5042,Lierne,kommunenr_2018,5042,Lierne
5042,Lierne,kommunenr_1977,1738,Lierne
5043,Raarvihke - Rõyrvik,kommunenr_2018,5043,Raarvihke - Rõyrvik
5043,Raarvihke - Rõyrvik,kommunenr_1977,1739,Rõyrvik
5043,Raarvihke - Rõyrvik,kommunenr_1977,1739,Raarvihke - Rõyrvik
5044,Namsskogan,kommunenr_2018,5044,Namsskogan
5044,Namsskogan,kommunenr_1977,1740,Namsskogan
5045,Grong,kommunenr_2018,5045,Grong
5045,Grong,kommunenr_1977,1742,Grong
5046,Hõylandet,kommunenr_1977,1743,Hõylandet
5046,Hõylandet,kommunenr_2018,5046,Hõylandet
5047,Overhalla,kommunenr_2018,5047,Overhalla
5047,Overhalla,kommunenr_1977,1744,Overhalla
5049,Flatanger,kommunenr_2018,5049,Flatanger
5049,Flatanger,kommunenr_1977,1749,Flatanger
5052,Leka,kommunenr_1977,1755,Leka
5052,Leka,kommunenr_2018,5052,Leka
5053,Inderõy,kommunenr_2012,1756,Inderõy
5053,Inderõy,kommunenr_1977,1723,Mosvik
5053,Inderõy,kommunenr_2018,5053,Inderõy
5053,Inderõy,kommunenr_1977,1729,Inderõy
5054,Indre Fosen,kommunenr_1977,1624,Rissa
5054,Indre Fosen,kommunenr_1977,1718,Leksvik
5054,Indre Fosen,kommunenr_2018,5054,Indre Fosen
5055,Heim,kommunenr_1977,1571,Halsa
5055,Heim,kommunenr_1977,1612,Hemne
5055,Heim,kommunenr_2018,5011,Hemne
5055,Heim,kommunenr_2020,5055,Heim
5056,Hitra,kommunenr_2024,5056,Hitra
5056,Hitra,kommunenr_1977,1617,Hitra
5056,Hitra,kommunenr_2018,5013,Hitra
5057,ùrland,kommunenr_1977,1627,Bjugn
5057,ùrland,kommunenr_2018,5017,Bjugn
5057,ùrland,kommunenr_1977,1621,ùrland
5057,ùrland,kommunenr_2018,5015,ùrland
5057,ùrland,kommunenr_2020,5057,ùrland
5058,èfjord,kommunenr_2018,5019,Roan
5058,èfjord,kommunenr_2018,5018,èfjord
5058,èfjord,kommunenr_2020,5058,èfjord
5058,èfjord,kommunenr_1977,1632,Roan
5058,èfjord,kommunenr_1977,1630,èfjord
5059,Orkland,kommunenr_2018,5016,Agdenes
5059,Orkland,kommunenr_2020,5059,Orkland
5059,Orkland,kommunenr_2018,5012,Snillfjord
5059,Orkland,kommunenr_1977,1613,Snillfjord
5059,Orkland,kommunenr_2018,5023,Meldal
5059,Orkland,kommunenr_2018,5024,Orkdal
5059,Orkland,kommunenr_1977,1636,Meldal
5059,Orkland,kommunenr_1977,1638,Orkdal
5059,Orkland,kommunenr_1977,1622,Agdenes
5060,Nërõysund,kommunenr_2020,5060,Nërõysund
5060,Nërõysund,kommunenr_2018,5050,Vikna
5060,Nërõysund,kommunenr_2018,5051,Nërõy
5060,Nërõysund,kommunenr_1977,1751,Nërõy
5060,Nërõysund,kommunenr_1977,1750,Vikna
5061,Rindal,kommunenr_2019,5061,Rindal
5061,Rindal,kommunenr_1977,1567,Rindal
5501,Tromsõ,kommunenr_2020,5401,Tromsõ
5501,Tromsõ,kommunenr_2024,5501,Tromsõ
5501,Tromsõ,kommunenr_1977,1902,Tromsõ
5503,Harstad - H†rstt†k,kommunenr_2024,5503,Harstad - H†rstt†k
5503,Harstad - H†rstt†k,kommunenr_1977,1901,Harstad
5503,Harstad - H†rstt†k,kommunenr_2020,5402,Harstad - H†rstt†k
5503,Harstad - H†rstt†k,kommunenr_1977,1915,Bjarkõy
5503,Harstad - H†rstt†k,kommunenr_2013,1903,Harstad - H†rstt†k
5503,Harstad - H†rstt†k,kommunenr_2013,1903,Harstad
5510,Kvëfjord,kommunenr_1977,1911,Kvëfjord
5510,Kvëfjord,kommunenr_2020,5411,Kvëfjord
5510,Kvëfjord,kommunenr_2024,5510,Kvëfjord
5512,Dielddanuorri - Tjeldsund,kommunenr_2024,5512,Dielddanuorri - Tjeldsund
5512,Dielddanuorri - Tjeldsund,kommunenr_1977,1852,Dielddanuorri - Tjeldsund
5512,Dielddanuorri - Tjeldsund,kommunenr_1977,1913,SkÜnland
5512,Dielddanuorri - Tjeldsund,kommunenr_2020,5412,Dielddanuorri - Tjeldsund
5512,Dielddanuorri - Tjeldsund,kommunenr_1977,1852,Tjeldsund
5514,Ibestad,kommunenr_1977,1917,Ibestad
5514,Ibestad,kommunenr_2020,5413,Ibestad
5514,Ibestad,kommunenr_2024,5514,Ibestad
5516,Gratangen,kommunenr_2020,5414,Gratangen
5516,Gratangen,kommunenr_1977,1919,Gratangen
5516,Gratangen,kommunenr_2024,5516,Gratangen
5518,Loab†k - Lavangen,kommunenr_1977,1920,Loab†k - Lavangen
5518,Loab†k - Lavangen,kommunenr_1977,1920,Lavangen
5518,Loab†k - Lavangen,kommunenr_2020,5415,Loab†k - Lavangen
5518,Loab†k - Lavangen,kommunenr_2024,5518,Loab†k - Lavangen
5520,Bardu,kommunenr_2020,5416,Bardu
5520,Bardu,kommunenr_2024,5520,Bardu
5520,Bardu,kommunenr_1977,1922,Bardu
5522,Salangen,kommunenr_2020,5417,Salangen
5522,Salangen,kommunenr_2024,5522,Salangen
5522,Salangen,kommunenr_1977,1923,Salangen
5524,MÜlselv,kommunenr_1977,1924,MÜlselv
5524,MÜlselv,kommunenr_2020,5418,MÜlselv
5524,MÜlselv,kommunenr_2024,5524,MÜlselv
5526,Sõrreisa,kommunenr_1977,1925,Sõrreisa
5526,Sõrreisa,kommunenr_2020,5419,Sõrreisa
5526,Sõrreisa,kommunenr_2024,5526,Sõrreisa
5528,Dyrõy,kommunenr_1977,1926,Dyrõy
5528,Dyrõy,kommunenr_2024,5528,Dyrõy
5528,Dyrõy,kommunenr_2020,5420,Dyrõy
5530,Senja,kommunenr_1977,1927,Tranõy
5530,Senja,kommunenr_2020,5421,Senja
5530,Senja,kommunenr_1977,1931,Lenvik
5530,Senja,kommunenr_1977,1929,Berg
5530,Senja,kommunenr_1977,1928,Torsken
5530,Senja,kommunenr_2024,5530,Senja
5532,Balsfjord,kommunenr_1977,1933,Balsfjord
5532,Balsfjord,kommunenr_2024,5532,Balsfjord
5532,Balsfjord,kommunenr_2020,5422,Balsfjord
5534,Karlsõy,kommunenr_2024,5534,Karlsõy
5534,Karlsõy,kommunenr_2020,5423,Karlsõy
5534,Karlsõy,kommunenr_1977,1936,Karlsõy
5536,Lyngen,kommunenr_1977,1938,Lyngen
5536,Lyngen,kommunenr_2024,5536,Lyngen
5536,Lyngen,kommunenr_2020,5424,Lyngen
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_1977,1939,Storfjord - Omasvuotna - Omasvuono
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_1977,1939,Storfjord
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_2024,5538,Storfjord - Omasvuotna - Omasvuono
5538,Storfjord - Omasvuotna - Omasvuono,kommunenr_2020,5425,Storfjord - Omasvuotna - Omasvuono
5540,G†ivuotna - KÜfjord - Kaivuono,kommunenr_1977,1940,KÜfjord
5540,G†ivuotna - KÜfjord - Kaivuono,kommunenr_1977,1940,G†ivuotna - KÜfjord
5540,G†ivuotna - KÜfjord - Kaivuono,kommunenr_1977,1940,G†ivuotna - KÜfjord - Kaivuono
5540,G†ivuotna - KÜfjord - Kaivuono,kommunenr_2020,5426,G†ivuotna - KÜfjord - Kaivuono
5540,G†ivuotna - KÜfjord - Kaivuono,kommunenr_2024,5540,G†ivuotna - KÜfjord - Kaivuono
5542,Skjervõy,kommunenr_2024,5542,Skjervõy
5542,Skjervõy,kommunenr_1977,1941,Skjervõy
5542,Skjervõy,kommunenr_2020,5427,Skjervõy
5544,Nordreisa - R†isa - Raisi,kommunenr_2020,5428,Nordreisa - R†isa - Raisi
5544,Nordreisa - R†isa - Raisi,kommunenr_2024,5544,Nordreisa - R†isa - Raisi
5544,Nordreisa - R†isa - Raisi,kommunenr_1977,1942,Nordreisa - R†isa - Raisi
5544,Nordreisa - R†isa - Raisi,kommunenr_1977,1942,Nordreisa
5546,Kvënangen,kommunenr_1977,1943,Kvënangen
5546,Kvënangen,kommunenr_2024,5546,Kvënangen
5546,Kvënangen,kommunenr_2020,5429,Kvënangen
5601,Alta,kommunenr_2020,5403,Alta
5601,Alta,kommunenr_1977,2012,Alta
5601,Alta,kommunenr_2024,5601,Alta
5603,Hammerfest - H†mmerfeasta,kommunenr_1977,2017,Kvalsund
5603,Hammerfest - H†mmerfeasta,kommunenr_1992,2004,Hammerfest - H†mmerfeasta
5603,Hammerfest - H†mmerfeasta,kommunenr_2024,5603,Hammerfest - H†mmerfeasta
5603,Hammerfest - H†mmerfeasta,kommunenr_1977,2001,Hammerfest
5603,Hammerfest - H†mmerfeasta,kommunenr_1992,2004,Hammerfest
5603,Hammerfest - H†mmerfeasta,kommunenr_2020,5406,Hammerfest - H†mmerfeasta
5603,Hammerfest - H†mmerfeasta,kommunenr_1977,2016,Sõrõysund
5605,Sõr-Varanger,kommunenr_2020,5444,Sõr-Varanger
5605,Sõr-Varanger,kommunenr_1977,2030,Sõr-Varanger
5605,Sõr-Varanger,kommunenr_2024,5605,Sõr-Varanger
5607,Vadsõ,kommunenr_1977,2003,Vadsõ
5607,Vadsõ,kommunenr_2020,5405,Vadsõ
5607,Vadsõ,kommunenr_2024,5607,Vadsõ
5610,K†r†?johka - Karasjok,kommunenr_2020,5437,K†r†?johka - Karasjok
5610,K†r†?johka - Karasjok,kommunenr_1977,2021,Karasjok
5610,K†r†?johka - Karasjok,kommunenr_1977,2021,K†r†?johka - Karasjok
5610,K†r†?johka - Karasjok,kommunenr_2024,5610,K†r†?johka - Karasjok
5612,Guovdageaidnu - Kautokeino,kommunenr_1977,2011,Guovdageaidnu - Kautokeino
5612,Guovdageaidnu - Kautokeino,kommunenr_1977,2011,Kautokeino
5612,Guovdageaidnu - Kautokeino,kommunenr_2020,5430,Guovdageaidnu - Kautokeino
5612,Guovdageaidnu - Kautokeino,kommunenr_2024,5612,Guovdageaidnu - Kautokeino
5614,Loppa,kommunenr_2024,5614,Loppa
5614,Loppa,kommunenr_2020,5432,Loppa
5614,Loppa,kommunenr_1977,2014,Loppa
5616,Hasvik,kommunenr_1977,2015,Hasvik
5616,Hasvik,kommunenr_2024,5616,Hasvik
5616,Hasvik,kommunenr_2020,5433,Hasvik
5618,MÜsõy,kommunenr_2024,5618,MÜsõy
5618,MÜsõy,kommunenr_1977,2018,MÜsõy
5618,MÜsõy,kommunenr_2020,5434,MÜsõy
5620,Nordkapp,kommunenr_2024,5620,Nordkapp
5620,Nordkapp,kommunenr_2020,5435,Nordkapp
5620,Nordkapp,kommunenr_1977,2019,Nordkapp
5622,Porsanger - Pors†ngu - Porsanki,kommunenr_1977,2020,Porsanger
5622,Porsanger - Pors†ngu - Porsanki,kommunenr_2024,5622,Porsanger - Pors†ngu - Porsanki
5622,Porsanger - Pors†ngu - Porsanki,kommunenr_2020,5436,Porsanger - Pors†ngu - Porsanki
5622,Porsanger - Pors†ngu - Porsanki,kommunenr_1977,2020,Porsanger - Pors†ngu - Porsanki
5624,Lebesby,kommunenr_2024,5624,Lebesby
5624,Lebesby,kommunenr_1977,2022,Lebesby
5624,Lebesby,kommunenr_2020,5438,Lebesby
5626,Gamvik,kommunenr_2020,5439,Gamvik
5626,Gamvik,kommunenr_2024,5626,Gamvik
5626,Gamvik,kommunenr_1977,2023,Gamvik
5628,Deatnu - Tana,kommunenr_2024,5628,Deatnu - Tana
5628,Deatnu - Tana,kommunenr_1977,2025,Tana
5628,Deatnu - Tana,kommunenr_1977,2025,Deatnu - Tana
5628,Deatnu - Tana,kommunenr_2020,5441,Deatnu - Tana
5630,BerlevÜg,kommunenr_1977,2024,BerlevÜg
5630,BerlevÜg,kommunenr_2020,5440,BerlevÜg
5630,BerlevÜg,kommunenr_2024,5630,BerlevÜg
5632,BÜtsfjord,kommunenr_2024,5632,BÜtsfjord
5632,BÜtsfjord,kommunenr_1977,2028,BÜtsfjord
5632,BÜtsfjord,kommunenr_2020,5443,BÜtsfjord
5634,Vardõ,kommunenr_2024,5634,Vardõ
5634,Vardõ,kommunenr_2020,5404,Vardõ
5634,Vardõ,kommunenr_1977,2002,Vardõ
5636,Unj†rga - Nesseby,kommunenr_2024,5636,Unj†rga - Nesseby
5636,Unj†rga - Nesseby,kommunenr_2020,5442,Unj†rga - Nesseby
5636,Unj†rga - Nesseby,kommunenr_1977,2027,Nesseby
5636,Unj†rga - Nesseby,kommunenr_1977,2027,Unj†rga - Nesseby
9999,Uoppgitt,kommunenr_1977,9999,Uoppgitt
